"Ano Mes.Ano Mes";CAFE/ARÁBICA TIPO 6, BEBIDA DURA/BA/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/CE/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/DF/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/ES/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/GO/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/MG/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/MS/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/PE/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/PR/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/RJ/Preco Medio Comercializado;CAFE/ARÁBICA TIPO 6, BEBIDA DURA/SP/Preco Medio Comercializado
"DEZ-2015";420.0;;450.0;432.5;445.0;476.25;;;391.88;425.63;477.27
"JAN-2016";444.46;;453.75;434.0;437.55;482.96;365.0;;398.4;428.0;476.74
"FEV-2016";462.9;;490.0;462.0;475.0;480.16;355.0;400.0;397.75;440.63;480.4
"MAR-2016";446.52;;487.5;435.0;466.25;476.11;360.0;387.5;386.5;422.5;486.79
"ABR-2016";430.66;;484.0;429.0;449.0;466.38;360.0;396.0;392.1;431.0;466.5
"MAI-2016";432.52;409.8;471.25;451.25;445.5;466.29;360.0;398.75;394.38;426.25;457.83
"JUN-2016";448.46;432.33;468.0;454.0;462.4;486.44;400.0;435.0;409.66;422.9;460.18
"JUL-2016";470.3;462.5;495.0;452.5;484.0;499.18;400.0;440.0;436.48;443.63;478.37
"AGO-2016";454.44;500.0;502.0;438.6;465.0;477.03;430.0;443.0;438.75;445.0;496.21
"SET-2016";494.06;481.63;495.0;458.75;483.75;506.31;470.0;452.5;447.81;451.25;497.18
"OUT-2016";482.46;500.0;513.75;475.0;487.63;512.89;550.0;485.0;453.91;466.88;490.4
"NOV-2016";545.85;526.63;552.0;516.0;511.34;552.77;574.0;500.0;484.21;520.5;515.85
"DEZ-2016";494.55;562.5;560.0;489.38;500.42;498.73;550.0;500.0;482.37;496.88;525.97
"JAN-2017";501.35;521.69;540.0;487.5;508.67;514.56;545.0;505.0;466.35;498.13;525.82
"FEV-2017";504.69;559.94;537.5;476.25;490.96;508.18;;510.0;479.4;506.25;524.58
"MAR-2017";489.9;557.96;496.0;458.0;485.29;486.18;;546.0;463.64;482.0;513.19
"ABR-2017";473.72;563.26;482.5;438.75;477.38;463.8;;550.0;446.38;452.5;489.29
"MAI-2017";451.05;;465.0;431.3;451.46;454.47;;543.48;430.15;436.79;478.57
"JUN-2017";437.95;;465.0;428.64;444.24;445.44;;550.0;426.94;430.46;456.95
"JUL-2017";440.01;;463.81;423.75;449.19;454.49;;550.0;426.26;426.67;447.21
"AGO-2017";447.36;555.92;465.77;439.13;450.86;454.46;;553.48;434.97;432.53;465.08
"SET-2017";446.41;574.41;464.76;435.48;448.11;449.01;473.75;537.14;423.04;430.22;449.69
"OUT-2017";434.58;550.0;455.68;418.75;443.8;440.03;450.0;539.6;418.78;428.07;445.19
"NOV-2017";441.12;;458.64;421.59;444.54;452.15;450.0;544.0;423.1;433.98;456.63
"DEZ-2017";433.68;;465.95;420.0;438.03;445.69;450.0;519.1;423.22;426.79;455.27
"JAN-2018";432.49;;455.65;425.22;445.94;441.17;449.13;505.7;422.12;421.94;453.18
"FEV-2018";430.24;;454.5;411.75;437.95;431.13;452.0;535.7;416.22;415.68;446.18
"MAR-2018";424.0;;440.0;402.73;423.9;425.69;497.27;543.24;402.02;412.82;437.5
"ABR-2018";416.37;;433.75;400.0;422.28;423.13;500.0;500.0;392.32;417.25;432.46
"MAI-2018";424.92;;456.96;413.7;431.61;446.85;453.91;;398.05;424.9;448.82
