"Ano Mes.Ano Mes";CANA DE ACUCAR/NÃO INFORMADO/AL/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/BA/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/CE/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/ES/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/MA/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/MG/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/PB/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/PE/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/PI/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/RJ/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/RN/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/SE/Preco Medio Comercializado;CANA DE ACUCAR/NÃO INFORMADO/SP/Preco Medio Comercializado
"JAN-2014";59.33;;57.36;40.21;55.0;;62.54;62.54;85.0;52.92;62.18;65.0;
"FEV-2014";58.77;;58.1;43.41;55.0;;62.63;62.63;85.0;53.16;63.12;62.81;
"MAR-2014";58.77;;59.7;45.78;55.0;;65.22;64.22;85.0;53.36;64.22;63.5;
"ABR-2014";58.93;66.39;60.0;53.44;55.0;;68.2;68.2;85.0;53.15;67.21;68.01;
"MAI-2014";59.86;72.0;60.6;47.92;55.0;;69.03;68.86;85.0;53.39;68.86;68.22;
"JUN-2014";59.07;68.12;62.2;47.92;55.0;;67.21;67.21;85.0;51.29;67.22;;
"JUL-2014";58.29;67.95;64.0;47.92;55.0;;66.42;66.42;85.0;52.17;66.8;;
"AGO-2014";58.91;;66.4;45.32;55.0;;66.52;66.51;85.0;52.97;65.41;60.0;
"SET-2014";58.93;57.0;68.0;46.77;55.0;;64.7;64.7;85.0;52.31;63.78;59.75;
"OUT-2014";58.7;70.0;68.92;50.04;55.0;;62.3;62.78;85.0;52.12;62.87;;
