"Ano Mes.Ano Mes";MILHO/EM GRÃOS/AC/Preco Medio Comercializado;MILHO/EM GRÃOS/AL/Preco Medio Comercializado;MILHO/EM GRÃOS/AP/Preco Medio Comercializado;MILHO/EM GRÃOS/BA/Preco Medio Comercializado;MILHO/EM GRÃOS/CE/Preco Medio Comercializado;MILHO/EM GRÃOS/DF/Preco Medio Comercializado;MILHO/EM GRÃOS/ES/Preco Medio Comercializado;MILHO/EM GRÃOS/GO/Preco Medio Comercializado;MILHO/EM GRÃOS/MA/Preco Medio Comercializado;MILHO/EM GRÃOS/MG/Preco Medio Comercializado;MILHO/EM GRÃOS/MS/Preco Medio Comercializado;MILHO/EM GRÃOS/MT/Preco Medio Comercializado;MILHO/EM GRÃOS/PA/Preco Medio Comercializado;MILHO/EM GRÃOS/PB/Preco Medio Comercializado;MILHO/EM GRÃOS/PE/Preco Medio Comercializado;MILHO/EM GRÃOS/PI/Preco Medio Comercializado;MILHO/EM GRÃOS/PR/Preco Medio Comercializado;MILHO/EM GRÃOS/RJ/Preco Medio Comercializado;MILHO/EM GRÃOS/RN/Preco Medio Comercializado;MILHO/EM GRÃOS/RO/Preco Medio Comercializado;MILHO/EM GRÃOS/RR/Preco Medio Comercializado;MILHO/EM GRÃOS/RS/Preco Medio Comercializado;MILHO/EM GRÃOS/SC/Preco Medio Comercializado;MILHO/EM GRÃOS/SE/Preco Medio Comercializado;MILHO/EM GRÃOS/SP/Preco Medio Comercializado;MILHO/EM GRÃOS/TO/Preco Medio Comercializado
"JAN-2014";28.61;33.8;;25.1;32.0;22.5;32.0;21.85;33.67;24.61;18.52;15.58;32.1;41.29;36.52;30.36;20.09;34.81;42.0;19.54;36.0;23.65;22.63;25.69;22.47;23.91
"FEV-2014";30.3;35.0;;25.01;32.0;27.0;32.0;22.98;33.58;26.07;20.66;16.34;33.75;41.68;36.35;30.68;21.26;35.71;42.0;22.13;36.0;23.65;22.86;26.5;24.46;25.07
"MAR-2014";32.3;35.0;;24.98;32.0;26.0;34.0;25.02;33.8;28.42;24.22;17.96;34.33;41.68;37.69;30.78;23.77;39.6;42.0;23.38;36.0;24.52;25.18;29.13;28.4;26.11
"ABR-2014";35.0;40.0;;26.42;29.45;24.3;33.0;24.47;33.98;26.9;23.11;20.49;37.36;41.68;38.65;30.78;23.92;37.66;42.0;26.19;36.2;25.71;25.51;30.33;28.14;27.54
"MAI-2014";35.0;42.8;;25.31;33.05;23.0;31.6;22.31;33.98;26.01;21.62;20.17;38.54;41.68;38.77;30.78;22.85;34.56;42.0;25.53;37.0;25.52;24.67;31.25;27.35;27.31
"JUN-2014";35.0;40.5;;24.12;34.57;21.75;29.0;20.0;33.98;23.9;18.96;16.59;38.9;41.48;37.09;30.57;20.91;32.4;42.0;23.29;37.0;24.07;22.94;;25.73;25.02
"JUL-2014";35.0;40.25;;25.07;34.11;19.1;29.0;18.18;33.98;22.2;16.71;12.54;36.36;41.76;36.82;29.94;19.41;31.57;42.0;19.48;37.0;23.48;21.59;;24.05;22.68
"AGO-2014";30.96;47.0;;26.19;32.42;17.91;27.6;17.01;32.02;20.61;16.13;12.52;31.74;41.23;34.87;27.08;19.09;30.24;42.0;18.12;37.0;22.49;21.36;;20.02;19.11
"SET-2014";28.0;35.13;;20.13;33.01;17.9;28.75;16.89;25.4;20.82;15.91;12.25;31.37;37.84;34.23;21.05;18.46;30.0;42.0;18.45;37.0;22.43;20.96;;18.25;18.5
"OUT-2014";28.0;34.0;;19.34;34.25;19.3;28.0;17.93;27.41;21.63;17.04;13.41;29.88;37.36;34.42;19.09;18.44;30.0;42.0;16.0;37.0;22.3;20.86;22.42;19.96;18.97
