"Ano Mes.Ano Mes";SOJA/EM GRÃOS/AP/Preco Medio Comercializado;SOJA/EM GRÃOS/BA/Preco Medio Comercializado;SOJA/EM GRÃOS/DF/Preco Medio Comercializado;SOJA/EM GRÃOS/GO/Preco Medio Comercializado;SOJA/EM GRÃOS/MA/Preco Medio Comercializado;SOJA/EM GRÃOS/MG/Preco Medio Comercializado;SOJA/EM GRÃOS/MS/Preco Medio Comercializado;SOJA/EM GRÃOS/MT/Preco Medio Comercializado;SOJA/EM GRÃOS/PA/Preco Medio Comercializado;SOJA/EM GRÃOS/PI/Preco Medio Comercializado;SOJA/EM GRÃOS/PR/Preco Medio Comercializado;SOJA/EM GRÃOS/RO/Preco Medio Comercializado;SOJA/EM GRÃOS/RR/Preco Medio Comercializado;SOJA/EM GRÃOS/RS/Preco Medio Comercializado;SOJA/EM GRÃOS/SC/Preco Medio Comercializado;SOJA/EM GRÃOS/SP/Preco Medio Comercializado;SOJA/EM GRÃOS/TO/Preco Medio Comercializado
"JAN-2014";;61.43;59.5;59.15;53.09;63.93;59.89;53.9;60.34;57.07;63.31;57.0;72.4;61.43;62.76;61.62;64.64
"FEV-2014";;59.8;;59.26;53.09;59.08;58.94;52.15;59.56;56.25;63.18;55.0;73.0;61.41;62.35;61.52;58.65
"MAR-2014";;60.02;;60.48;53.3;61.59;61.12;53.73;61.05;58.75;64.84;56.38;72.75;63.7;65.04;61.98;57.58
"ABR-2014";;58.38;59.08;59.17;54.2;60.15;60.76;54.61;58.31;58.75;63.03;55.13;72.5;62.04;63.95;63.01;57.04
"MAI-2014";;59.67;63.5;58.95;54.2;59.99;61.15;56.08;58.77;57.66;63.44;56.4;77.66;62.18;63.35;63.22;56.72
"JUN-2014";;60.53;61.5;59.17;54.2;59.91;61.59;56.68;61.25;57.5;62.56;56.38;78.0;62.08;62.63;62.67;59.01
"JUL-2014";;54.45;60.0;55.02;54.2;59.91;57.74;53.86;58.75;52.38;58.17;51.75;77.0;58.51;58.22;61.1;56.2
"AGO-2014";;55.41;59.5;54.27;54.2;59.91;58.45;55.89;52.6;53.3;57.76;49.3;72.93;57.27;57.73;59.24;56.32
"SET-2014";;52.69;57.42;51.96;51.39;59.91;54.76;53.57;52.38;53.75;54.66;48.5;67.63;54.7;54.39;59.8;56.2
"OUT-2014";;52.67;56.6;51.19;52.47;59.91;55.7;53.09;55.1;53.4;56.14;47.4;58.24;53.15;54.82;57.21;54.94
"NOV-2014";;55.88;61.75;54.14;53.15;59.91;60.3;56.12;54.5;55.25;59.78;48.25;57.57;57.0;58.51;57.94;57.58
"DEZ-2014";;56.13;61.13;54.84;53.15;59.91;59.21;56.5;55.31;57.08;59.95;52.0;63.38;58.52;58.36;59.73;59.37
"JAN-2015";;53.73;57.45;54.11;53.15;59.7;55.18;53.74;56.5;57.67;57.11;51.2;65.66;57.37;56.62;58.36;59.37
"FEV-2015";;54.58;56.05;55.27;55.83;54.74;53.17;51.15;;54.42;57.5;49.25;64.45;55.14;56.16;54.24;60.06
"MAR-2015";;54.88;60.0;60.38;59.09;59.64;56.56;55.46;;57.67;60.39;53.5;66.03;60.54;60.41;54.52;54.82
"ABR-2015";;55.61;59.44;59.68;59.12;58.76;55.83;56.0;57.5;54.92;59.84;53.5;66.08;60.58;59.68;55.23;54.11
"MAI-2015";;54.6;57.5;56.2;57.0;59.29;54.24;53.71;57.85;55.57;58.35;52.2;67.02;57.98;57.79;59.35;54.33
"JUN-2015";;55.46;58.5;55.85;55.4;59.92;55.37;53.91;57.18;55.92;59.1;52.4;62.11;58.66;58.09;60.01;57.81
"JUL-2015";;62.07;62.25;58.47;57.86;62.67;59.52;56.91;58.82;62.37;63.48;54.75;55.11;63.05;61.78;60.8;60.24
"AGO-2015";;65.54;66.56;60.42;64.11;67.23;62.81;59.38;59.58;66.09;66.01;57.25;62.71;66.6;64.66;66.41;63.29
"SET-2015";;71.25;70.88;63.91;65.32;72.48;69.59;66.09;65.5;71.92;70.0;59.0;65.88;70.39;67.89;66.47;67.93
"OUT-2015";;72.53;77.05;67.36;76.69;78.24;71.76;67.85;64.02;74.07;72.2;60.0;75.38;73.67;71.09;68.09;74.33
"NOV-2015";;66.96;76.0;66.87;75.44;71.78;71.67;65.18;67.53;70.92;69.75;60.0;69.2;72.45;69.12;72.43;76.22
"DEZ-2015";;68.48;73.38;66.1;73.82;67.78;71.53;65.08;65.32;71.79;69.24;60.75;68.28;71.52;67.85;73.75;74.09
"JAN-2016";;72.18;74.34;67.08;76.68;;70.99;66.15;63.71;67.77;72.68;61.75;68.2;74.74;71.38;71.41;73.56
"FEV-2016";;72.56;68.69;67.23;72.54;67.26;65.09;63.12;58.5;66.67;71.27;63.25;68.2;73.53;71.27;69.44;70.17
"MAR-2016";;71.0;62.38;61.76;69.44;62.72;61.09;59.57;63.85;63.29;66.38;59.63;65.13;68.98;66.45;70.26;62.36
"ABR-2016";;66.3;64.95;62.16;72.53;61.52;62.38;61.89;64.77;63.47;66.12;60.3;64.5;68.55;68.04;67.45;61.55
"MAI-2016";;77.75;75.82;70.84;78.4;72.36;73.02;74.22;68.03;73.17;74.26;64.83;71.19;74.88;75.09;72.87;67.68
"JUN-2016";;81.0;84.25;79.56;88.69;81.19;82.61;82.12;75.58;78.71;82.18;76.0;77.7;82.76;83.09;81.28;79.54
"JUL-2016";;73.67;80.63;73.65;84.62;76.97;76.38;74.08;75.55;76.67;75.88;74.25;79.87;76.6;76.97;79.15;76.63
"AGO-2016";;70.0;73.9;67.85;88.04;74.33;72.43;70.47;75.37;72.53;69.22;64.8;75.76;71.09;71.02;75.39;73.45
"SET-2016";;68.75;75.13;68.41;88.81;73.32;70.78;70.12;73.75;72.33;66.99;63.13;76.38;70.43;69.73;73.28;73.22
"OUT-2016";;65.21;75.44;67.87;76.62;74.9;69.62;71.11;69.94;76.17;66.59;62.25;76.2;68.42;68.87;72.46;71.78
"NOV-2016";;67.99;72.25;67.03;71.44;72.24;67.53;67.37;69.76;73.47;69.58;64.4;75.32;69.78;70.35;71.12;70.3
"DEZ-2016";;70.63;72.0;67.16;71.58;69.5;68.93;65.48;71.14;73.67;69.84;63.0;74.25;70.83;71.06;69.48;70.83
"JAN-2017";;68.17;69.88;66.33;70.5;64.2;65.77;62.68;71.31;;67.24;62.0;76.7;68.12;67.46;69.43;68.33
"FEV-2017";;63.75;64.13;63.18;66.75;62.86;61.68;59.2;69.13;59.29;65.86;60.38;75.3;65.61;66.22;69.13;64.88
"MAR-2017";;61.3;60.05;58.58;64.2;59.81;56.67;55.87;64.55;58.77;61.57;57.8;72.72;63.16;62.59;66.47;61.75
"ABR-2017";;54.06;54.38;51.71;61.89;54.31;52.6;51.21;59.79;56.92;57.56;52.25;69.95;56.89;57.83;60.74;54.94
"MAI-2017";;57.64;60.58;55.2;63.64;58.02;57.23;54.4;61.29;58.93;59.25;54.57;70.28;58.37;59.68;59.08;57.66
"JUN-2017";;58.54;59.0;56.1;63.69;59.05;55.72;53.81;60.37;60.1;59.3;53.64;73.61;59.46;59.75;58.17;57.79
"JUL-2017";;59.69;61.24;57.05;66.07;59.94;58.21;55.72;61.04;60.84;61.51;54.05;75.62;61.59;62.27;58.17;59.48
"AGO-2017";;57.81;59.72;53.76;63.8;58.32;56.14;53.28;61.84;56.21;57.86;52.42;68.22;59.15;59.11;59.72;59.73
"SET-2017";;59.2;60.48;55.26;64.82;59.8;58.42;55.37;62.09;57.45;59.21;51.3;64.38;59.9;60.31;60.45;58.8
"OUT-2017";;60.44;62.59;57.08;66.5;63.13;60.6;56.69;63.17;59.48;61.53;53.33;64.25;60.87;62.22;62.78;59.85
"NOV-2017";;61.11;64.59;59.32;68.85;66.38;62.15;58.07;66.84;61.26;63.53;55.36;67.75;63.49;64.06;63.94;62.02
"DEZ-2017";;62.32;65.71;60.48;69.34;66.16;62.66;58.49;68.42;61.34;64.55;57.0;73.5;64.06;65.45;66.34;62.58
"JAN-2018";;60.8;63.96;59.45;68.12;64.6;62.41;56.56;66.0;60.15;62.77;56.87;73.48;62.13;63.27;66.03;62.02
"FEV-2018";;62.45;62.93;61.55;71.79;65.07;61.45;59.13;65.65;61.92;65.21;57.83;73.7;63.91;66.21;67.08;63.31
"MAR-2018";;64.08;67.18;65.18;69.04;66.03;65.36;62.9;69.67;65.76;69.74;63.91;78.86;69.24;70.31;66.56;66.03
"ABR-2018";;68.08;71.25;68.24;73.7;68.74;70.74;68.48;73.77;70.05;75.26;66.76;81.0;75.09;75.82;71.07;70.07
"MAI-2018";;69.22;74.59;70.22;74.99;73.08;72.9;70.16;75.97;71.13;76.14;67.91;83.07;75.99;76.66;74.9;70.71
"JUN-2018";;70.52;70.19;64.59;73.38;67.18;69.83;71.05;72.59;66.43;73.6;69.14;77.12;71.56;73.89;73.96;69.39
"JUL-2018";;66.88;73.25;68.39;71.03;75.37;73.24;69.09;72.87;66.8;76.82;65.75;73.23;74.92;76.45;73.95;70.48
"AGO-2018";;69.0;77.59;71.67;71.23;78.74;76.5;71.49;77.84;69.54;77.97;65.58;76.3;76.77;77.87;75.48;72.43
"SET-2018";;72.13;81.0;75.57;75.22;85.21;79.18;74.31;79.73;70.83;81.05;68.56;75.95;80.85;80.84;78.37;74.35
"OUT-2018";;68.72;81.0;73.8;74.38;83.66;79.04;71.73;80.59;66.48;76.86;64.9;74.83;78.58;77.23;77.46;71.87
"NOV-2018";;65.05;76.0;71.94;76.41;82.02;74.41;67.03;79.21;68.31;71.82;62.2;73.02;74.32;73.16;72.8;69.04
"DEZ-2018";;65.97;74.5;69.77;72.9;72.66;73.34;63.28;76.56;65.42;70.22;61.88;71.25;72.17;71.31;72.9;70.75
"JAN-2019";;62.92;68.43;66.07;69.0;70.53;66.69;60.97;75.72;63.67;68.09;58.93;76.12;69.71;68.49;68.4;66.13
"FEV-2019";;63.61;66.85;67.18;66.74;68.86;66.18;62.22;70.59;67.62;69.55;60.38;73.75;68.73;69.51;67.37;64.65
"MAR-2019";;66.38;68.0;67.63;66.75;70.35;66.87;63.71;69.39;67.53;68.75;61.4;72.5;70.95;69.89;69.71;66.23
"ABR-2019";;65.54;66.86;66.25;66.59;70.0;66.32;63.32;68.19;67.24;67.56;60.52;75.0;68.18;68.87;67.06;65.69
