Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2000-05-06
Data Final: 2025-04-25
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2000-05-06;null;null;null;null;
2000-05-07;null;null;49.2;null;
2000-05-08;0;22.1;60.3;2.1;
2000-05-09;0;22.1;58.8;1.2;
2000-05-10;0;22.4;62.1;2.1;
2000-05-11;0;21.3;62.4;2.7;
2000-05-12;0;20.1;65.4;3;
2000-05-13;0;18.9;67;3.1;
2000-05-14;0;18.7;61.5;3.1;
2000-05-15;0;19;59.6;1.9;
2000-05-16;0;19.8;57.2;1.7;
2000-05-17;0;20.1;57;1.6;
2000-05-18;0;19.9;68.3;2.1;
2000-05-19;0;null;68.6;1.7;
2000-05-20;null;null;null;null;
2000-05-21;null;null;null;null;
2000-05-22;null;null;null;null;
2000-05-23;null;20;68.2;3.1;
2000-05-24;0;19;64;3.5;
2000-05-25;0;17.8;62;2.9;
2000-05-26;0;19.3;55.5;1.7;
2000-05-27;0;19.9;50.5;1.4;
2000-05-28;0;20.2;51.4;1;
2000-05-29;0;20.4;62.8;1.4;
2000-05-30;0;21;55;1.1;
2000-05-31;0;21;55.8;1.1;
2000-06-01;0;null;60;null;
2000-06-02;null;null;null;null;
2000-06-03;0;20.8;59.2;2.6;
2000-06-04;0;19.7;64.3;3.5;
2000-06-05;0;18.6;66.5;3.4;
2000-06-06;0;18;68.3;2.8;
2000-06-07;0;17.9;66.8;3.2;
2000-06-08;0;18.5;63.8;2.7;
2000-06-09;0;18.8;63.8;2.3;
2000-06-10;0;19.2;56.7;2.5;
2000-06-11;0;18.5;53.8;1.6;
2000-06-12;0;18.7;54.8;1.6;
2000-06-13;0;19.6;59.3;1.7;
2000-06-14;0;20.6;61.7;2.4;
2000-06-15;0;19.8;59.7;3.7;
2000-06-16;0;18.6;59.1;3.3;
2000-06-17;0;18.2;53.5;2.8;
2000-06-18;0;18.5;56.1;1.9;
2000-06-19;0;19.5;57;1.4;
2000-06-20;0;20.5;54.9;1.6;
2000-06-21;0;19.8;64.8;2.5;
2000-06-22;0;18.5;68.8;2.5;
2000-06-23;0;19.5;58.6;3;
2000-06-24;0;19.4;62.4;3;
2000-06-25;0;19.5;50.8;2.7;
2000-06-26;0;19.4;42.6;2;
2000-06-27;0;19.3;36.7;1.6;
2000-06-28;0;19.4;41.4;2.6;
2000-06-29;0;20.3;47.2;2.9;
2000-06-30;0;20.3;49.6;1.8;
2000-07-01;0;20.7;44;2.5;
2000-07-02;0;20.1;56.7;2.7;
2000-07-03;0;19.4;59.4;2.7;
2000-07-04;0;17.6;63.2;3.9;
2000-07-05;0;17;60.9;5;
2000-07-06;0;16.4;71;3.6;
2000-07-07;0;17.9;68.7;3.4;
2000-07-08;0;18.7;63.4;2.9;
2000-07-09;0;19.1;61;3;
2000-07-10;0;19.2;58;3.2;
2000-07-11;0;19.6;57.8;1.7;
2000-07-12;0;19.6;62.5;2;
2000-07-13;0;16.7;71.8;3.1;
2000-07-14;0;18.2;64.4;3.1;
2000-07-15;0;19.2;63.4;2.5;
2000-07-16;0;19.5;61.7;2.7;
2000-07-17;0;15.3;46.1;2.5;
2000-07-18;0;17.1;37.3;1.4;
2000-07-19;0;19.4;31;2;
2000-07-20;0;19.7;38.8;2;
2000-07-21;0;21.1;44;2.2;
2000-07-22;0;22;52.7;2.4;
2000-07-23;0;21.5;62;3.1;
2000-07-24;0;17.2;78.8;2.1;
2000-07-25;0;20.7;65;1.7;
2000-07-26;.2;21.2;67.3;2.7;
2000-07-27;0;21.2;64.3;3.3;
2000-07-28;0;19.8;58;3.2;
2000-07-29;0;18.4;54.7;2.3;
2000-07-30;0;19.4;45;2.4;
2000-07-31;0;19.5;39.7;2.5;
2000-08-01;0;18.6;42;3.1;
2000-08-02;0;19;48;2.7;
2000-08-03;0;20.5;47.7;2.4;
2000-08-04;0;21.7;44.6;1.8;
2000-08-05;0;21.3;50.5;4;
2000-08-06;0;19.8;55.8;3.5;
2000-08-07;0;20.8;40.5;2.5;
2000-08-08;0;21.3;33;2.6;
2000-08-09;0;21.4;36.5;2;
2000-08-10;0;22.7;42.9;1.3;
2000-08-11;0;23.8;44.4;1.7;
2000-08-12;0;22.5;48;2.4;
2000-08-13;0;21.5;54;3.3;
2000-08-14;0;21.4;56.2;3.5;
2000-08-15;0;20.6;46.5;3;
2000-08-16;0;20.9;39.8;3.1;
2000-08-17;0;20.9;39;3.8;
2000-08-18;0;21.1;40.4;2.1;
2000-08-19;0;21.7;40.5;2.2;
2000-08-20;0;21.8;38.5;3.2;
2000-08-21;0;20.8;40.4;3.7;
2000-08-22;0;21.3;40;2.7;
2000-08-23;0;21.8;38.5;2.3;
2000-08-24;0;22.4;41;2;
2000-08-25;0;24.3;36.9;2.9;
2000-08-26;0;26;31.7;1.8;
2000-08-27;0;25;38;1.8;
2000-08-28;0;24.9;47.2;3.5;
2000-08-29;25.2;16.3;94.1;3.5;
2000-08-30;27.4;18.2;80;3.3;
2000-08-31;0;21.7;67.5;3.2;
2000-09-01;0;21.4;73.9;null;
2000-09-02;null;null;null;null;
2000-09-03;null;null;null;null;
2000-09-04;null;null;null;null;
2000-09-05;null;20;74.3;3.1;
2000-09-06;0;20.7;73.5;3.4;
2000-09-07;6.8;19;83.1;2.2;
2000-09-08;9.6;19.2;83.8;3;
2000-09-09;0;19.9;79.4;2.3;
